*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
2715;2.491000;8.957000;0.423655;5.298700;-4.032843;5.195854;-7.609139;1.965335;0.884401;1.460395;0.684746
2746;2.332000;8.639000;0.459809;4.673014;-4.353451;5.151620;-8.214058;2.161869;0.687867;1.460395;0.684746
2778;2.597000;9.274999;0.385062;5.857933;-3.684801;5.238944;-6.952455;1.768802;1.080934;1.460395;0.684746
2811;3.021000;9.751999;0.331503;6.608640;-3.192806;5.291756;-6.024163;1.474001;1.375735;1.460395;0.684746
2858;3.286000;10.069999;0.293333;7.064933;-2.836507;5.324481;-5.351900;1.277468;1.572268;1.460395;0.684746
2890;4.558000;10.599999;0.240501;7.766072;-2.336634;5.363090;-4.408743;0.949912;1.899824;1.460395;0.684746
2923;5.883000;10.811999;0.231518;8.029403;-2.250961;5.368886;-4.247096;0.818890;2.030847;1.460395;0.684746
2955;7.367000;11.235999;0.181320;8.531717;-1.769016;5.397185;-3.337767;0.556845;2.292891;1.460395;0.684746
2985;8.904000;11.394999;0.176754;8.712622;-1.724938;5.399415;-3.254600;0.458578;2.391158;1.460395;0.684746
3018;11.182999;11.871999;0.086902;9.234095;-0.851434;5.431698;-1.606479;0.163778;2.685958;1.460395;0.684746
3050;13.037999;12.030999;0.049990;9.401494;-0.490194;5.438575;-0.924894;0.065511;2.784225;1.460395;0.684746
3083;15.369999;12.189999;0.055541;9.456636;-0.544580;5.437778;-1.027509;0.032756;2.816981;1.460395;0.684746
3115;17.754999;12.295999;-0.643501;9.346028;5.886000;4.867451;11.105661;0.098267;2.751469;1.460395;0.684746
3146;20.086999;12.242999;-0.075436;9.401494;0.739325;5.434232;1.394952;0.065511;2.784225;1.460395;0.684746
3178;22.471999;12.189999;-0.020407;9.456636;0.200183;5.441409;0.377704;0.032756;2.816981;1.460395;0.684746
3225;24.803999;12.083999;-0.014084;9.456636;0.138162;5.441705;0.260683;0.032756;2.816981;1.460395;0.684746
3258;26.923999;11.924999;-0.043949;9.290230;0.431001;5.439347;0.813209;0.131022;2.718714;1.460395;0.684746
3290;28.884998;11.818999;-0.054781;9.177617;0.537131;5.437892;1.013455;0.196534;2.653203;1.460395;0.684746
3322;30.686998;11.606999;-0.079010;8.948140;0.774284;5.433480;1.460914;0.327556;2.522180;1.460395;0.684746
